Journal,Volume,Issue,Publication Year,Title,Authors,Author Affiliations,Pages,Type,DOI,PDF Link,Citations
Developmental Science,7, 1,2004,12- and 18-month-old infants follow gaze to spaces behind barriers,"Henrike Moll, Michael Tomasello","Department of Psychology, Max Planck Institute for Evolutionary Anthropology, Germany; Department of Psychology, Max Planck Institute for Evolutionary Anthropology, Germany",F1-F9,FAST-TRACK REPORT,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00315.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00315.x,Citations: 186
Developmental Science,7, 1,2004,A longitudinal study of gender-related cognition and behaviour,"Anne Campbell, Louisa Shirley, Julia Candy","Department of Psychology, Durham University, UK; Newcastle, North Tyneside & Northumberland Mental Health Trust, UK; Faculty of Social and Political Sciences, Cambridge University, UK",1-9,REPORTS,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00316.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00316.x,Citations: 28
Developmental Science,7, 1,2004,Hemispheric asymmetries in children's perception of nonlinguistic human affective sounds,"Seth D. Pollak, Lori L. Holt, Alison B. Wismer Fries","Department of Psychology, University of Wisconsin at Madison, USA; Department of Psychology, Carnegie Mellon University and the Center for the Neural Basis of Cognition, USA; Department of Psychology and Waisman Center, University of Wisconsin at Madison, USA",10-18,REPORTS,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00317.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00317.x,Citations: 8
Developmental Science,7, 1,2004,When left means right: an explanation of the left cradling bias in terms of right hemisphere specializations,"Victoria J. Bourne, Brenda K. Todd","Department of Psychology, School of Life Sciences, University of Sussex, UK; Department of Psychology, School of Life Sciences, University of Sussex, UK",19-24,REPORTS,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00318.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00318.x,Citations: 86
Developmental Science,7, 1,2004,"Task orientation, parental warmth and SES account for a significant proportion of the shared environmental variance in general cognitive ability in early childhood: evidence from a twin study","Stephen A. Petrill, Kirby Deater-Deckard","Department of Biobehavioral Health, Center for Developmental and Health Genetics, The Pennsylvania State University, USA; Department of Psychology, University of Oregon, USA",25-32,REPORTS,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00319.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00319.x,Citations: 38
Developmental Science,7, 1,2004,Two-year-olds’ sensitivity to speakers’ intent: an alternative account of Samuelson and Smith,"Gil Diesendruck, Lori Markson, Nameera Akhtar, Ayelet Reudor","Department of Psychology, Bar-Ilan University, Israel; Department of Psychology, University of California at Berkeley, USA; Department of Psychology, University of California at Santa Cruz, USA; Department of Psychology, Bar-Ilan University, Israel",33-41,REPORTS,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00320.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00320.x,Citations: 48
Developmental Science,7, 1,2004,Auditory–oral matching behavior in newborns,"Xin Chen, Tricia Striano, Hannes Rakoczy","Department of Psychology, University of Connecticut, USA; Junior Research Group for Cultural Ontogeny, Max-Planck-Institute for Evolutionary Anthropology, Leipzig, Germany; Junior Research Group for Cultural Ontogeny, Max-Planck-Institute for Evolutionary Anthropology, Leipzig, Germany",42-47,REPORTS,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00321.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00321.x,Citations: 40
Developmental Science,7, 1,2004,"Training 2;6-year-olds to produce the transitive construction: the role of frequency, semantic similarity and shared syntactic distribution","Kirsten Abbot-Smith, Elena Lieven, Michael Tomasello","Department of Psychology, Max Planck Institute for Evolutionary Anthropology, Germany; Department of Psychology, Max Planck Institute for Evolutionary Anthropology, Germany; Department of Psychology, Max Planck Institute for Evolutionary Anthropology, Germany",48-55,REPORTS,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00322.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00322.x,Citations: 23
Developmental Science,7, 1,2004,Reorganization in coping behavior at 1½ years: dynamic systems and normative change,"Marc D. Lewis, Sara Zimmerman, Tom Hollenstein, Alex V. Lamey","Department of Human Development and Applied Psychology, Ontario Institute for Studies in Education, University of Toronto, Canada; Hincks-Dellcrest Treatment Centre, Toronto, Canada; Department of Human Development and Applied Psychology, Ontario Institute for Studies in Education, University of Toronto, Canada; Department of Human Development and Applied Psychology, Ontario Institute for Studies in Education, University of Toronto, Canada",56-73,PAPERS,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00323.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00323.x,Citations: 40
Developmental Science,7, 1,2004,Effect of visual experience on face processing: a developmental study of inversion and non-native effects,"Sandy Sangrigoli, Scania De Schonen","Developmental Neurocognition Unit, LCD, CNRS-Paris 5 and Laboratory of Physiology and Developmental Neurology, Robert Debré Hospital, Paris, France; Developmental Neurocognition Unit, LCD, CNRS-Paris 5 and Laboratory of Physiology and Developmental Neurology, Robert Debré Hospital, Paris, France",74-87,PAPERS,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00324.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00324.x,Citations: 132
Developmental Science,7, 1,2004,The impact of child maltreatment on expressive syntax at 60 months,"Inge-Marie Eigsti, Dante Cicchetti","Department of Clinical and Social Sciences in Psychology, University of Rochester, USA; Mount Hope Family Center and Department of Clinical and Social Sciences in Psychology, University of Rochester, USA",88-102,PAPERS,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00325.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00325.x,Citations: 112
Developmental Science,7, 1,2004,"A longitudinal, microgenetic study of the emergence of false belief understanding and inhibition skills","Emma Flynn, Claire O'Malley, David Wood","School of Psychology, University of St Andrews, UK; School of Psychology, University of Nottingham, UK; School of Psychology, University of Nottingham, UK",103-115,PAPERS,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7687.2004.00326.x,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1467-7687.2004.00326.x,Citations: 181
